Date,Unemployment_Rate,State,Labor_Force_Participation_Rate,State_Minimum_Wage
1998-08-01,4.2,Arizona,65.1,6.75
1998-09-01,4.2,Arizona,65.3,6.75
1998-10-01,4.3,Arizona,65.4,6.75
1998-11-01,4.3,Arizona,65.6,6.75
1998-12-01,4.3,Arizona,65.7,6.75
1999-01-01,4.4,Arizona,65.8,6.75
1999-02-01,4.5,Arizona,65.9,6.75
1999-03-01,4.6,Arizona,66.0,6.75
1999-04-01,4.6,Arizona,66.1,6.75
1999-05-01,4.7,Arizona,66.1,6.75
1999-06-01,4.7,Arizona,66.0,6.75
1999-07-01,4.6,Arizona,66.0,6.75
1999-08-01,4.5,Arizona,65.9,6.75
1999-09-01,4.4,Arizona,65.8,6.75
1999-10-01,4.3,Arizona,65.7,6.75
1999-11-01,4.2,Arizona,65.6,6.75
1999-12-01,4.1,Arizona,65.6,6.75
2000-01-01,4.1,Arizona,65.6,6.75
2000-02-01,4.0,Arizona,65.5,6.75
2000-03-01,4.0,Arizona,65.5,6.75
2000-04-01,4.0,Arizona,65.4,6.75
2000-05-01,4.0,Arizona,65.3,6.75
2000-06-01,4.0,Arizona,65.2,6.75
2000-07-01,4.0,Arizona,65.2,6.75
2000-08-01,4.0,Arizona,65.1,6.75
2000-09-01,3.9,Arizona,65.1,6.75
2000-10-01,3.9,Arizona,65.2,6.75
2000-11-01,3.9,Arizona,65.3,6.75
2000-12-01,4.0,Arizona,65.4,6.75
2001-01-01,4.0,Arizona,65.5,6.75
2001-02-01,4.1,Arizona,65.6,6.75
2001-03-01,4.2,Arizona,65.6,6.75
2001-04-01,4.2,Arizona,65.6,6.75
2001-05-01,4.3,Arizona,65.5,6.75
2001-06-01,4.4,Arizona,65.5,6.75
2001-07-01,4.6,Arizona,65.5,6.75
2001-08-01,4.8,Arizona,65.6,6.75
2001-09-01,5.1,Arizona,65.7,6.75
2001-10-01,5.4,Arizona,65.8,6.75
2001-11-01,5.7,Arizona,65.9,6.75
2001-12-01,5.9,Arizona,66.0,6.75
2002-01-01,6.0,Arizona,66.0,6.75
2002-02-01,6.1,Arizona,66.1,6.75
2002-03-01,6.2,Arizona,66.1,6.75
2002-04-01,6.2,Arizona,66.2,6.75
2002-05-01,6.3,Arizona,66.2,6.75
2002-06-01,6.3,Arizona,66.3,6.75
2002-07-01,6.2,Arizona,66.2,6.75
2002-08-01,6.2,Arizona,66.2,6.75
2002-09-01,6.2,Arizona,66.1,6.75
2002-10-01,6.1,Arizona,66.0,6.75
2002-11-01,6.1,Arizona,65.9,6.75
2002-12-01,6.0,Arizona,65.8,6.75
2003-01-01,6.0,Arizona,65.7,6.75
2003-02-01,5.9,Arizona,65.7,6.75
2003-03-01,5.9,Arizona,65.7,6.75
2003-04-01,5.9,Arizona,65.7,6.75
2003-05-01,5.9,Arizona,65.6,6.75
2003-06-01,5.9,Arizona,65.6,6.75
2003-07-01,5.9,Arizona,65.6,6.75
2003-08-01,5.8,Arizona,65.5,6.75
2003-09-01,5.7,Arizona,65.4,6.75
2003-10-01,5.6,Arizona,65.3,6.75
2003-11-01,5.5,Arizona,65.3,6.75
2003-12-01,5.4,Arizona,65.3,6.75
2004-01-01,5.4,Arizona,65.3,6.75
2004-02-01,5.3,Arizona,65.3,6.75
2004-03-01,5.3,Arizona,65.3,6.75
2004-04-01,5.2,Arizona,65.2,6.75
2004-05-01,5.1,Arizona,65.1,6.75
2004-06-01,5.0,Arizona,65.0,6.75
2004-07-01,4.9,Arizona,65.0,6.75
2004-08-01,4.8,Arizona,64.9,6.75
2004-09-01,4.7,Arizona,64.7,6.75
2004-10-01,4.6,Arizona,64.6,6.75
2004-11-01,4.6,Arizona,64.5,6.75
2004-12-01,4.6,Arizona,64.4,6.75
2005-01-01,4.6,Arizona,64.4,6.75
2005-02-01,4.6,Arizona,64.4,6.75
2005-03-01,4.6,Arizona,64.4,6.75
2005-04-01,4.7,Arizona,64.5,6.75
2005-05-01,4.7,Arizona,64.5,6.75
2005-06-01,4.7,Arizona,64.6,6.75
2005-07-01,4.7,Arizona,64.6,6.75
2005-08-01,4.7,Arizona,64.5,6.75
2005-09-01,4.7,Arizona,64.5,6.75
2005-10-01,4.6,Arizona,64.4,6.75
2005-11-01,4.6,Arizona,64.3,6.75
2005-12-01,4.5,Arizona,64.3,6.75
2006-01-01,4.4,Arizona,64.2,6.75
2006-02-01,4.4,Arizona,64.3,6.75
2006-03-01,4.3,Arizona,64.3,6.75
2006-04-01,4.3,Arizona,64.4,6.75
2006-05-01,4.4,Arizona,64.4,6.75
2006-06-01,4.4,Arizona,64.4,6.75
2006-07-01,4.3,Arizona,64.4,6.75
2006-08-01,4.3,Arizona,64.5,6.75
2006-09-01,4.2,Arizona,64.5,6.75
2006-10-01,4.1,Arizona,64.5,6.75
2006-11-01,4.1,Arizona,64.5,6.75
2006-12-01,4.0,Arizona,64.5,6.75
2007-01-01,3.9,Arizona,64.4,6.75
2007-02-01,3.8,Arizona,64.2,6.75
2007-03-01,3.7,Arizona,64.1,6.75
2007-04-01,3.6,Arizona,63.9,6.75
2007-05-01,3.5,Arizona,63.7,6.75
2007-06-01,3.5,Arizona,63.5,6.75
2007-07-01,3.4,Arizona,63.4,6.75
2007-08-01,3.5,Arizona,63.4,6.75
2007-09-01,3.6,Arizona,63.4,6.75
2007-10-01,3.8,Arizona,63.4,6.75
2007-11-01,4.0,Arizona,63.5,6.75
2007-12-01,4.1,Arizona,63.5,6.75
2008-01-01,4.2,Arizona,63.5,6.9
2008-02-01,4.4,Arizona,63.5,6.9
2008-03-01,4.5,Arizona,63.5,6.9
2008-04-01,4.8,Arizona,63.6,6.9
2008-05-01,5.1,Arizona,63.7,6.9
2008-06-01,5.5,Arizona,63.8,6.9
2008-07-01,5.9,Arizona,63.9,6.9
2008-08-01,6.2,Arizona,64.1,6.9
2008-09-01,6.6,Arizona,64.2,6.9
2008-10-01,6.9,Arizona,64.2,6.9
2008-11-01,7.3,Arizona,64.2,6.9
2008-12-01,7.8,Arizona,64.2,6.9
2009-01-01,8.2,Arizona,64.1,7.25
2009-02-01,8.6,Arizona,64.1,7.25
2009-03-01,9.0,Arizona,64.0,7.25
2009-04-01,9.4,Arizona,64.0,7.25
2009-05-01,9.6,Arizona,64.0,7.25
2009-06-01,9.8,Arizona,64.0,7.25
2009-07-01,10.0,Arizona,63.9,7.25
2009-08-01,10.2,Arizona,63.7,7.25
2009-09-01,10.3,Arizona,63.6,7.25
2009-10-01,10.4,Arizona,63.4,7.25
2009-11-01,10.5,Arizona,63.3,7.25
2009-12-01,10.6,Arizona,63.3,7.25
2010-01-01,10.6,Arizona,63.3,7.25
2010-02-01,10.7,Arizona,63.3,7.25
2010-03-01,10.6,Arizona,63.3,7.25
2010-04-01,10.6,Arizona,63.2,7.25
2010-05-01,10.5,Arizona,63.1,7.25
2010-06-01,10.4,Arizona,63.0,7.25
2010-07-01,10.3,Arizona,62.8,7.25
2010-08-01,10.2,Arizona,62.7,7.25
2010-09-01,10.2,Arizona,62.5,7.25
2010-10-01,10.1,Arizona,62.4,7.25
2010-11-01,10.1,Arizona,62.3,7.25
2010-12-01,10.0,Arizona,62.2,7.25
2011-01-01,9.9,Arizona,62.1,7.35
2011-02-01,9.8,Arizona,61.9,7.35
2011-03-01,9.7,Arizona,61.8,7.35
2011-04-01,9.7,Arizona,61.7,7.35
2011-05-01,9.6,Arizona,61.6,7.35
2011-06-01,9.6,Arizona,61.5,7.35
2011-07-01,9.6,Arizona,61.4,7.35
2011-08-01,9.5,Arizona,61.3,7.35
2011-09-01,9.4,Arizona,61.2,7.35
2011-10-01,9.2,Arizona,61.2,7.35
2011-11-01,9.1,Arizona,61.1,7.35
2011-12-01,8.9,Arizona,61.0,7.35
2012-01-01,8.8,Arizona,60.9,7.65
2012-02-01,8.7,Arizona,60.8,7.65
2012-03-01,8.6,Arizona,60.8,7.65
2012-04-01,8.5,Arizona,60.7,7.65
2012-05-01,8.5,Arizona,60.7,7.65
2012-06-01,8.4,Arizona,60.6,7.65
2012-07-01,8.4,Arizona,60.6,7.65
2012-08-01,8.3,Arizona,60.5,7.65
2012-09-01,8.2,Arizona,60.5,7.65
2012-10-01,8.1,Arizona,60.4,7.65
2012-11-01,8.1,Arizona,60.4,7.65
2012-12-01,8.1,Arizona,60.3,7.65
2013-01-01,8.1,Arizona,60.2,7.8
2013-02-01,8.1,Arizona,60.1,7.8
2013-03-01,8.1,Arizona,60.1,7.8
2013-04-01,8.0,Arizona,60.0,7.8
2013-05-01,8.0,Arizona,60.0,7.8
2013-06-01,7.9,Arizona,60.0,7.8
2013-07-01,7.9,Arizona,60.0,7.8
2013-08-01,7.8,Arizona,60.0,7.8
2013-09-01,7.7,Arizona,59.9,7.8
2013-10-01,7.6,Arizona,59.8,7.8
2013-11-01,7.5,Arizona,59.7,7.8
2013-12-01,7.4,Arizona,59.7,7.8
2014-01-01,7.2,Arizona,59.7,7.9
2014-02-01,7.1,Arizona,59.7,7.9
2014-03-01,7.0,Arizona,59.8,7.9
2014-04-01,7.0,Arizona,59.8,7.9
2014-05-01,6.9,Arizona,59.8,7.9
2014-06-01,6.8,Arizona,59.8,7.9
2014-07-01,6.8,Arizona,59.9,7.9
2014-08-01,6.7,Arizona,59.9,7.9
2014-09-01,6.7,Arizona,60.0,7.9
2014-10-01,6.6,Arizona,60.1,7.9
2014-11-01,6.5,Arizona,60.1,7.9
2014-12-01,6.5,Arizona,60.1,7.9
2015-01-01,6.4,Arizona,60.1,8.05
2015-02-01,6.3,Arizona,60.1,8.05
2015-03-01,6.3,Arizona,60.1,8.05
2015-04-01,6.2,Arizona,60.1,8.05
2015-05-01,6.2,Arizona,60.1,8.05
2015-06-01,6.1,Arizona,60.1,8.05
2015-07-01,6.1,Arizona,60.1,8.05
2015-08-01,6.1,Arizona,60.1,8.05
2015-09-01,6.0,Arizona,60.0,8.05
2015-10-01,5.9,Arizona,60.0,8.05
2015-11-01,5.9,Arizona,60.0,8.05
2015-12-01,5.8,Arizona,60.1,8.05
2016-01-01,5.7,Arizona,60.1,8.05
2016-02-01,5.7,Arizona,60.2,8.05
2016-03-01,5.6,Arizona,60.2,8.05
2016-04-01,5.6,Arizona,60.2,8.05
2016-05-01,5.6,Arizona,60.2,8.05
2016-06-01,5.5,Arizona,60.3,8.05
2016-07-01,5.5,Arizona,60.3,8.05
2016-08-01,5.4,Arizona,60.3,8.05
2016-09-01,5.4,Arizona,60.3,8.05
2016-10-01,5.4,Arizona,60.3,8.05
2016-11-01,5.3,Arizona,60.3,8.05
2016-12-01,5.3,Arizona,60.3,8.05
2017-01-01,5.2,Arizona,60.4,10.0
2017-02-01,5.2,Arizona,60.4,10.0
2017-03-01,5.1,Arizona,60.5,10.0
2017-04-01,5.0,Arizona,60.6,10.0
2017-05-01,5.0,Arizona,60.6,10.0
2017-06-01,4.9,Arizona,60.6,10.0
2017-07-01,4.9,Arizona,60.7,10.0
2017-08-01,4.8,Arizona,60.6,10.0
2017-09-01,4.8,Arizona,60.6,10.0
2017-10-01,4.8,Arizona,60.6,10.0
2017-11-01,4.9,Arizona,60.6,10.0
2017-12-01,4.9,Arizona,60.7,10.0
2018-01-01,4.9,Arizona,60.7,10.5
2018-02-01,4.8,Arizona,60.8,10.5
2018-03-01,4.8,Arizona,61.0,10.5
2018-04-01,4.7,Arizona,61.1,10.5
2018-05-01,4.7,Arizona,61.1,10.5
2018-06-01,4.7,Arizona,61.2,10.5
2018-07-01,4.7,Arizona,61.2,10.5
2018-08-01,4.7,Arizona,61.3,10.5
2018-09-01,4.8,Arizona,61.4,10.5
2018-10-01,4.9,Arizona,61.5,10.5
2018-11-01,5.0,Arizona,61.6,10.5
2018-12-01,5.0,Arizona,61.7,10.5
2019-01-01,5.0,Arizona,61.8,11.0
2019-02-01,5.0,Arizona,61.8,11.0
2019-03-01,4.9,Arizona,61.8,11.0
2019-04-01,4.9,Arizona,61.9,11.0
2019-05-01,4.8,Arizona,61.9,11.0
2019-06-01,4.8,Arizona,62.0,11.0
2019-07-01,4.8,Arizona,62.0,11.0
2019-08-01,4.8,Arizona,62.1,11.0
2019-09-01,4.7,Arizona,62.1,11.0
2019-10-01,4.7,Arizona,62.1,11.0
2019-11-01,4.7,Arizona,62.2,11.0
2019-12-01,4.7,Arizona,62.2,11.0
2020-01-01,4.8,Arizona,62.1,12.0
2020-02-01,4.8,Arizona,62.0,12.0
2020-03-01,4.9,Arizona,61.8,12.0
2020-04-01,13.8,Arizona,60.2,12.0
2020-05-01,11.2,Arizona,61.1,12.0
2020-06-01,9.8,Arizona,61.0,12.0
2020-07-01,9.0,Arizona,61.2,12.0
2020-08-01,7.9,Arizona,61.2,12.0
2020-09-01,7.5,Arizona,61.5,12.0
2020-10-01,7.0,Arizona,61.5,12.0
2020-11-01,6.7,Arizona,61.5,12.0
2020-12-01,6.5,Arizona,61.5,12.0
2021-01-01,6.4,Arizona,61.5,12.15
2021-02-01,6.2,Arizona,61.5,12.15
2021-03-01,6.0,Arizona,61.5,12.15
2021-04-01,5.8,Arizona,61.5,12.15
2021-05-01,5.6,Arizona,61.5,12.15
2021-06-01,5.3,Arizona,61.4,12.15
2021-07-01,4.9,Arizona,61.3,12.15
2021-08-01,4.6,Arizona,61.1,12.15
2021-09-01,4.2,Arizona,61.1,12.15
2021-10-01,4.0,Arizona,61.0,12.15
2021-11-01,3.8,Arizona,61.0,12.15
2021-12-01,3.7,Arizona,61.1,12.15
2022-01-01,3.6,Arizona,61.2,12.8
2022-02-01,3.6,Arizona,61.3,12.8
2022-03-01,3.6,Arizona,61.4,12.8
2022-04-01,3.7,Arizona,61.5,12.8
2022-05-01,3.7,Arizona,61.5,12.8
2022-06-01,3.7,Arizona,61.5,12.8
2022-07-01,3.8,Arizona,61.5,12.8
2022-08-01,3.8,Arizona,61.5,12.8
2022-09-01,3.8,Arizona,61.4,12.8
2022-10-01,3.8,Arizona,61.4,12.8
2022-11-01,3.8,Arizona,61.4,12.8
2022-12-01,3.7,Arizona,61.5,12.8
2023-01-01,3.7,Arizona,61.5,13.85
2023-02-01,3.6,Arizona,61.6,13.85
2023-03-01,3.6,Arizona,61.7,13.85
2023-04-01,3.6,Arizona,61.8,13.85
2023-05-01,3.6,Arizona,61.8,13.85
2023-06-01,3.7,Arizona,61.9,13.85
2023-07-01,3.7,Arizona,61.9,13.85
2023-08-01,3.7,Arizona,62.0,13.85
2023-09-01,3.8,Arizona,61.9,13.85
2023-10-01,3.7,Arizona,61.9,13.85
2023-11-01,3.7,Arizona,61.9,13.85
2023-12-01,3.6,Arizona,61.8,13.85
2024-01-01,3.5,Arizona,61.7,14.35
2024-02-01,3.4,Arizona,61.7,14.35
2024-03-01,3.3,Arizona,61.6,14.35
2024-04-01,3.4,Arizona,61.6,14.35
2024-05-01,3.4,Arizona,61.5,14.35
2024-06-01,3.5,Arizona,61.5,14.35
2024-07-01,3.6,Arizona,61.5,14.35
2024-08-01,3.7,Arizona,61.5,14.35
2024-09-01,3.8,Arizona,61.5,14.35
2024-10-01,3.9,Arizona,61.4,14.35
2024-11-01,3.9,Arizona,61.4,14.35
2024-12-01,3.8,Arizona,61.3,14.35
2025-01-01,3.9,Arizona,61.4,14.7
2025-02-01,3.9,Arizona,61.5,14.7
2025-03-01,4.1,Arizona,61.5,14.7
2025-04-01,4.1,Arizona,61.5,14.7
2025-05-01,4.1,Arizona,61.4,14.7
2025-06-01,4.1,Arizona,61.4,14.7
2025-07-01,4.1,Arizona,61.4,14.7
2025-08-01,4.1,Arizona,61.4,14.7
1976-01-01,7.3,Arkansas,57.9,1.9
1976-02-01,7.3,Arkansas,57.8,1.9
1976-03-01,7.3,Arkansas,57.8,1.9
1976-04-01,7.2,Arkansas,57.7,1.9
1976-05-01,7.1,Arkansas,57.8,1.9
1976-06-01,6.9,Arkansas,57.8,1.9
1976-07-01,6.8,Arkansas,57.8,1.9
1976-08-01,6.6,Arkansas,57.8,1.9
1976-09-01,6.6,Arkansas,57.8,1.9
1976-10-01,6.5,Arkansas,57.8,1.9
1976-11-01,6.6,Arkansas,57.8,1.9
1976-12-01,6.6,Arkansas,57.9,1.9
1977-01-01,6.6,Arkansas,57.9,1.9
1977-02-01,6.6,Arkansas,58.0,1.9
1977-03-01,6.6,Arkansas,58.1,1.9
1977-04-01,6.6,Arkansas,58.2,1.9
1977-05-01,6.5,Arkansas,58.3,1.9
1977-06-01,6.4,Arkansas,58.4,1.9
1977-07-01,6.4,Arkansas,58.5,1.9
1977-08-01,6.4,Arkansas,58.6,1.9
1977-09-01,6.4,Arkansas,58.7,1.9
1977-10-01,6.4,Arkansas,58.8,1.9
1977-11-01,6.4,Arkansas,58.7,1.9
1977-12-01,6.4,Arkansas,58.7,1.9
1978-01-01,6.3,Arkansas,58.6,1.9
1978-02-01,6.2,Arkansas,58.5,1.9
1978-03-01,6.2,Arkansas,58.5,1.9
1978-04-01,6.1,Arkansas,58.5,1.9
1978-05-01,6.0,Arkansas,58.5,1.9
1978-06-01,6.0,Arkansas,58.6,1.9
1978-07-01,6.1,Arkansas,58.6,1.9
1978-08-01,6.2,Arkansas,58.6,1.9
1978-09-01,6.3,Arkansas,58.7,1.9
1978-10-01,6.3,Arkansas,58.7,1.9
1978-11-01,6.4,Arkansas,58.8,1.9
1978-12-01,6.4,Arkansas,58.9,1.9
1979-01-01,6.4,Arkansas,59.0,2.3
1979-02-01,6.4,Arkansas,59.0,2.3
1979-03-01,6.3,Arkansas,59.0,2.3
1979-04-01,6.3,Arkansas,59.1,2.3
1979-05-01,6.3,Arkansas,59.1,2.3
1979-06-01,6.3,Arkansas,59.1,2.3
1979-07-01,6.3,Arkansas,59.2,2.3
1979-08-01,6.3,Arkansas,59.2,2.3
1979-09-01,6.3,Arkansas,59.3,2.3
1979-10-01,6.2,Arkansas,59.3,2.3
1979-11-01,6.1,Arkansas,59.3,2.3
1979-12-01,6.1,Arkansas,59.3,2.3
1980-01-01,6.2,Arkansas,59.3,2.55
1980-02-01,6.4,Arkansas,59.3,2.55
1980-03-01,6.8,Arkansas,59.3,2.55
1980-04-01,7.1,Arkansas,59.2,2.55
1980-05-01,7.5,Arkansas,59.2,2.55
1980-06-01,7.8,Arkansas,59.2,2.55
1980-07-01,8.0,Arkansas,59.2,2.55
1980-08-01,8.1,Arkansas,59.2,2.55
1980-09-01,8.1,Arkansas,59.3,2.55
1980-10-01,8.1,Arkansas,59.5,2.55
1980-11-01,8.1,Arkansas,59.7,2.55
1980-12-01,8.2,Arkansas,59.9,2.55
1981-01-01,8.2,Arkansas,60.2,2.7
1981-02-01,8.3,Arkansas,60.4,2.7
1981-03-01,8.4,Arkansas,60.6,2.7
1981-04-01,8.4,Arkansas,60.6,2.7
1981-05-01,8.5,Arkansas,60.7,2.7
1981-06-01,8.5,Arkansas,60.6,2.7
1981-07-01,8.5,Arkansas,60.5,2.7
1981-08-01,8.6,Arkansas,60.5,2.7
1981-09-01,8.7,Arkansas,60.4,2.7
1981-10-01,8.8,Arkansas,60.4,2.7
1981-11-01,9.0,Arkansas,60.4,2.7
1981-12-01,9.2,Arkansas,60.3,2.7
1982-01-01,9.3,Arkansas,60.1,2.7
1982-02-01,9.3,Arkansas,60.1,2.7
1982-03-01,9.3,Arkansas,60.0,2.7
1982-04-01,9.3,Arkansas,59.9,2.7
1982-05-01,9.3,Arkansas,59.9,2.7
1982-06-01,9.3,Arkansas,60.0,2.7
1982-07-01,9.3,Arkansas,60.0,2.7
1982-08-01,9.4,Arkansas,60.1,2.7
1982-09-01,9.6,Arkansas,60.1,2.7
1982-10-01,9.7,Arkansas,60.2,2.7
1982-11-01,9.9,Arkansas,60.2,2.7
1982-12-01,10.1,Arkansas,60.2,2.7
1983-01-01,10.1,Arkansas,60.1,2.7
1983-02-01,10.2,Arkansas,60.1,2.7
1983-03-01,10.1,Arkansas,60.1,2.7
1983-04-01,10.0,Arkansas,60.1,2.7
1983-05-01,9.9,Arkansas,60.1,2.7
1983-06-01,9.9,Arkansas,60.3,2.7
1983-07-01,9.8,Arkansas,60.4,2.7
1983-08-01,9.7,Arkansas,60.6,2.7
1983-09-01,9.5,Arkansas,60.6,2.7
1983-10-01,9.3,Arkansas,60.7,2.7
1983-11-01,9.1,Arkansas,60.7,2.7
1983-12-01,9.0,Arkansas,60.8,2.7
1984-01-01,8.8,Arkansas,60.9,2.7
1984-02-01,8.7,Arkansas,60.9,2.7
1984-03-01,8.7,Arkansas,60.9,2.7
1984-04-01,8.6,Arkansas,60.8,2.7
1984-05-01,8.5,Arkansas,60.7,2.7
1984-06-01,8.5,Arkansas,60.6,2.7
1984-07-01,8.5,Arkansas,60.4,2.7
1984-08-01,8.4,Arkansas,60.2,2.7
1984-09-01,8.4,Arkansas,60.1,2.7
1984-10-01,8.4,Arkansas,60.0,2.7
1984-11-01,8.4,Arkansas,59.9,2.7
1984-12-01,8.4,Arkansas,60.0,2.7
1985-01-01,8.4,Arkansas,60.0,2.7
1985-02-01,8.4,Arkansas,60.1,2.7
1985-03-01,8.4,Arkansas,60.2,2.7
1985-04-01,8.4,Arkansas,60.3,2.7
1985-05-01,8.5,Arkansas,60.4,2.7
1985-06-01,8.5,Arkansas,60.5,2.7
1985-07-01,8.6,Arkansas,60.5,2.7
1985-08-01,8.6,Arkansas,60.6,2.7
1985-09-01,8.5,Arkansas,60.6,2.7
1985-10-01,8.5,Arkansas,60.6,2.7
1985-11-01,8.4,Arkansas,60.6,2.7
1985-12-01,8.4,Arkansas,60.6,2.7
1986-01-01,8.5,Arkansas,60.6,2.7
1986-02-01,8.5,Arkansas,60.7,2.7
1986-03-01,8.6,Arkansas,60.7,2.7
1986-04-01,8.6,Arkansas,60.8,2.7
1986-05-01,8.6,Arkansas,60.9,2.7
1986-06-01,8.5,Arkansas,61.0,2.7
1986-07-01,8.5,Arkansas,61.1,2.7
1986-08-01,8.5,Arkansas,61.2,2.7
1986-09-01,8.5,Arkansas,61.3,2.7
1986-10-01,8.6,Arkansas,61.3,2.7
1986-11-01,8.6,Arkansas,61.2,2.7
1986-12-01,8.5,Arkansas,61.2,2.7
1987-01-01,8.5,Arkansas,61.1,2.7
1987-02-01,8.4,Arkansas,61.1,2.7
1987-03-01,8.3,Arkansas,61.2,2.7
1987-04-01,8.2,Arkansas,61.3,2.7
1987-05-01,8.1,Arkansas,61.4,2.7
1987-06-01,8.1,Arkansas,61.5,2.7
1987-07-01,8.0,Arkansas,61.6,2.7
1987-08-01,8.0,Arkansas,61.7,2.7
1987-09-01,8.0,Arkansas,61.8,2.7
1987-10-01,8.0,Arkansas,61.9,2.7
1987-11-01,7.9,Arkansas,62.0,2.7
1987-12-01,7.9,Arkansas,62.1,2.7
1988-01-01,7.8,Arkansas,62.1,3.25
1988-02-01,7.8,Arkansas,62.1,3.25
1988-03-01,7.8,Arkansas,62.1,3.25
1988-04-01,7.7,Arkansas,62.1,3.25
1988-05-01,7.7,Arkansas,62.1,3.25
1988-06-01,7.7,Arkansas,62.1,3.25
1988-07-01,7.7,Arkansas,62.2,3.25
1988-08-01,7.7,Arkansas,62.2,3.25
1988-09-01,7.6,Arkansas,62.3,3.25
1988-10-01,7.6,Arkansas,62.3,3.25
1988-11-01,7.5,Arkansas,62.4,3.25
1988-12-01,7.4,Arkansas,62.5,3.25
1989-01-01,7.3,Arkansas,62.6,3.25
1989-02-01,7.3,Arkansas,62.7,3.25
1989-03-01,7.2,Arkansas,62.8,3.25
1989-04-01,7.2,Arkansas,62.8,3.25
1989-05-01,7.1,Arkansas,62.9,3.25
1989-06-01,7.1,Arkansas,63.0,3.25
1989-07-01,7.0,Arkansas,63.1,3.25
1989-08-01,6.9,Arkansas,63.2,3.25
1989-09-01,6.9,Arkansas,63.3,3.25
1989-10-01,6.8,Arkansas,63.4,3.25
1989-11-01,6.8,Arkansas,63.5,3.25
1989-12-01,6.7,Arkansas,63.5,3.25
1990-01-01,6.7,Arkansas,63.6,3.25
1990-02-01,6.7,Arkansas,63.5,3.25
1990-03-01,6.7,Arkansas,63.4,3.25
1990-04-01,6.7,Arkansas,63.3,3.25
1990-05-01,6.7,Arkansas,63.2,3.25
1990-06-01,6.7,Arkansas,63.1,3.25
1990-07-01,6.8,Arkansas,63.1,3.25
1990-08-01,6.9,Arkansas,63.1,3.25
1990-09-01,7.0,Arkansas,63.1,3.25
1990-10-01,7.1,Arkansas,63.1,3.25
1990-11-01,7.2,Arkansas,63.1,3.25
1990-12-01,7.3,Arkansas,63.1,3.25
1991-01-01,7.4,Arkansas,63.1,3.35
1991-02-01,7.4,Arkansas,63.0,3.35
1991-03-01,7.5,Arkansas,63.0,3.35
1991-04-01,7.5,Arkansas,63.0,3.35
1991-05-01,7.4,Arkansas,62.9,3.35
1991-06-01,7.3,Arkansas,62.9,3.35
1991-07-01,7.2,Arkansas,62.9,3.35
1991-08-01,7.2,Arkansas,62.9,3.35
1991-09-01,7.1,Arkansas,62.9,3.35
1991-10-01,7.2,Arkansas,63.1,3.35
1991-11-01,7.2,Arkansas,63.2,3.35
1991-12-01,7.3,Arkansas,63.4,3.35
1992-01-01,7.3,Arkansas,63.5,3.65
1992-02-01,7.3,Arkansas,63.7,3.65
1992-03-01,7.2,Arkansas,63.8,3.65
1992-04-01,7.2,Arkansas,63.9,3.65
1992-05-01,7.1,Arkansas,63.9,3.65
1992-06-01,7.1,Arkansas,63.8,3.65
1992-07-01,7.0,Arkansas,63.8,3.65
1992-08-01,7.0,Arkansas,63.6,3.65
1992-09-01,6.9,Arkansas,63.4,3.65
1992-10-01,6.7,Arkansas,63.1,3.65
1992-11-01,6.6,Arkansas,63.0,3.65
1992-12-01,6.5,Arkansas,62.9,3.65
1993-01-01,6.4,Arkansas,62.9,3.65
1993-02-01,6.3,Arkansas,62.8,3.65
1993-03-01,6.3,Arkansas,62.9,3.65
1993-04-01,6.2,Arkansas,63.0,3.65
1993-05-01,6.2,Arkansas,63.1,3.65
1993-06-01,6.2,Arkansas,63.2,3.65
1993-07-01,6.1,Arkansas,63.2,3.65
1993-08-01,6.1,Arkansas,63.3,3.65
1993-09-01,6.0,Arkansas,63.3,3.65
1993-10-01,5.9,Arkansas,63.4,3.65
1993-11-01,5.9,Arkansas,63.5,3.65
1993-12-01,5.9,Arkansas,63.5,3.65
1994-01-01,5.8,Arkansas,63.6,4.25
1994-02-01,5.8,Arkansas,63.7,4.25
1994-03-01,5.7,Arkansas,63.7,4.25
1994-04-01,5.7,Arkansas,63.7,4.25
1994-05-01,5.6,Arkansas,63.8,4.25
1994-06-01,5.5,Arkansas,63.9,4.25
1994-07-01,5.4,Arkansas,64.0,4.25
1994-08-01,5.4,Arkansas,64.0,4.25
1994-09-01,5.3,Arkansas,64.1,4.25
1994-10-01,5.2,Arkansas,64.1,4.25
1994-11-01,5.1,Arkansas,64.1,4.25
1994-12-01,5.0,Arkansas,64.1,4.25
1995-01-01,4.9,Arkansas,64.1,4.25
1995-02-01,4.8,Arkansas,64.1,4.25
1995-03-01,4.8,Arkansas,64.0,4.25
1995-04-01,4.8,Arkansas,63.9,4.25
1995-05-01,4.8,Arkansas,63.8,4.25
1995-06-01,4.8,Arkansas,63.7,4.25
1995-07-01,4.8,Arkansas,63.7,4.25
1995-08-01,4.9,Arkansas,63.7,4.25
1995-09-01,4.9,Arkansas,63.7,4.25
1995-10-01,4.9,Arkansas,63.8,4.25
1995-11-01,5.0,Arkansas,63.8,4.25
1995-12-01,5.0,Arkansas,63.8,4.25
1996-01-01,5.0,Arkansas,63.7,4.25
1996-02-01,5.1,Arkansas,63.7,4.25
1996-03-01,5.1,Arkansas,63.7,4.25
1996-04-01,5.2,Arkansas,63.8,4.25
1996-05-01,5.2,Arkansas,63.8,4.25
1996-06-01,5.2,Arkansas,63.8,4.25
